Recency,Frequency,Monetary,customer_id,Cluster
545,1,11.77,1,1
534,2,89.0,2,1
33,6,156.46,3,0
200,4,100.5,4,0
178,11,385.61,5,0
545,1,20.99,6,1
100,3,264.67,7,0
93,8,197.66,8,0
22,3,95.85,9,0
525,1,39.31,10,1
130,4,58.550000000000004,11,0
545,1,57.06,12,1
545,1,72.94,13,1
545,1,29.92,14,1
545,1,52.87,15,1
293,4,79.87,16,0
545,1,73.22,17,1
542,1,14.96,18,1
385,2,175.12,19,1
528,2,653.01,20,1
533,2,75.11,21,1
545,1,14.37,22,1
545,1,24.74,23,1
161,2,57.77,24,0
22,8,137.53,25,0
520,2,102.69,26,1
534,2,135.87,27,1
479,3,90.99,28,1
65,12,435.81,29,0
501,2,28.34,30,1
36,4,177.05,31,0
111,3,78.21,32,0
109,25,1045.47,33,2
545,1,23.14,34,1
276,2,42.22,35,1
512,2,49.67999999999999,36,1
48,6,155.68,37,0
545,1,12.49,38,1
111,5,221.45,39,0
114,14,318.94,40,0
545,1,17.99,41,1
544,2,38.32,42,1
37,5,117.32,43,0
376,3,59.65,44,1
545,1,14.37,45,1
230,7,315.87,46,0
24,21,427.8,47,0
17,20,649.93,48,0
545,1,27.94,49,1
545,1,6.79,50,1
211,6,367.38,51,0
53,8,445.68,52,0
57,6,86.21,53,0
545,1,33.96,54,1
536,2,81.45,55,1
195,4,129.19,56,0
545,1,57.86,57,1
545,1,20.99,58,1
521,3,36.53,59,1
514,1,21.75,60,1
545,1,155.65,61,1
244,11,237.15,62,0
40,4,120.91,63,0
5,13,367.37,64,0
100,3,68.74,65,0
545,1,39.99,66,1
529,3,71.49,67,1
545,1,40.36,68,1
542,2,217.07999999999998,69,1
545,1,72.23,70,1
545,1,13.97,71,1
545,1,11.99,72,1
471,3,94.57,73,1
545,1,41.99,74,1
545,1,69.81,75,1
545,1,9.99,76,1
545,1,12.97,77,1
68,2,95.26,78,0
545,1,77.44,79,1
545,1,43.46,80,1
276,14,430.69,81,0
81,6,242.8,82,0
73,4,101.67999999999999,83,0
545,1,13.97,84,1
543,1,26.31,85,1
545,1,23.94,86,1
265,4,206.55,87,0
251,2,34.97,88,1
20,18,571.88,89,0
538,2,24.67,90,1
545,1,32.54,91,1
440,2,53.339999999999996,92,1
543,2,219.32999999999998,93,1
544,1,44.1,94,1
6,29,1515.27,95,2
3,19,1445.99,96,2
94,4,324.75,97,0
403,2,76.46000000000001,98,1
196,7,267.25,99,0
71,3,55.24,100,0
528,1,23.54,101,1
121,4,157.47,102,0
74,3,110.49,103,0
545,1,14.96,104,1
545,1,35.31,105,1
150,6,202.1,106,0
545,1,21.99,107,1
545,1,17.96,108,1
513,2,204.45999999999998,109,1
545,1,27.94,110,1
10,16,1107.04,111,0
510,2,23.54,112,1
115,3,59.669999999999995,113,0
139,5,124.92999999999999,114,0
545,1,13.97,115,1
545,1,12.77,116,1
103,3,58.97,117,0
371,2,73.85,118,1
545,1,41.69,119,1
194,5,103.50999999999999,120,0
545,1,12.49,121,1
545,1,27.74,122,1
545,1,31.99,123,1
200,5,138.35,124,0
22,6,108.64,125,0
210,2,302.75,126,0
545,1,39.71,127,1
331,4,67.86,128,1
545,1,12.49,129,1
62,8,120.95,130,0
